fid,AREA_HA,PERIMETRO_M,TAMANHO,INDICE_FORMA,CLASSE_FORMA,AREA_NUCLEAR_HA,ISOLAMENTO_M,CLASSE_CONECTIVIDADE,MUNICIPIOS
588,8.5,1759.03,Pequeno (5-10 ha),1.7,"Alongado (1,5 ≤ DI < 2,0)",2.68,127.25,Média conectividade (100-500 m),Presidente Kennedy
589,0.83,428.12,Muito pequeno (< 5 ha),1.33,"Compacto (DI < 1,5)",0,78.38,Alta conectividade (< 100 m),Presidente Kennedy
590,9.39,1541.94,Pequeno (5-10 ha),1.42,"Compacto (DI < 1,5)",2.7,78.38,Alta conectividade (< 100 m),Presidente Kennedy
591,0.87,601.11,Muito pequeno (< 5 ha),1.81,"Alongado (1,5 ≤ DI < 2,0)",0,75.99,Alta conectividade (< 100 m),Presidente Kennedy
592,2.41,864.46,Muito pequeno (< 5 ha),1.57,"Alongado (1,5 ≤ DI < 2,0)",0,50.19,Alta conectividade (< 100 m),Presidente Kennedy
593,16.4,3324.71,Médio (10-100 ha),2.32,"Muito alongado (DI ≥ 2,0)",3.06,38.59,Alta conectividade (< 100 m),Mimoso do Sul
595,2.17,941.17,Muito pequeno (< 5 ha),1.8,"Alongado (1,5 ≤ DI < 2,0)",0,33.13,Alta conectividade (< 100 m),Presidente Kennedy
596,1.52,505.3,Muito pequeno (< 5 ha),1.16,"Compacto (DI < 1,5)",0.03,119.29,Média conectividade (100-500 m),Presidente Kennedy
597,17.9,3608.37,Médio (10-100 ha),2.41,"Muito alongado (DI ≥ 2,0)",2.42,14.98,Alta conectividade (< 100 m),Mimoso do Sul
598,2.71,969.89,Muito pequeno (< 5 ha),1.66,"Alongado (1,5 ≤ DI < 2,0)",0,62.2,Alta conectividade (< 100 m),Presidente Kennedy
599,5.88,1088.79,Pequeno (5-10 ha),1.27,"Compacto (DI < 1,5)",1.58,145.82,Média conectividade (100-500 m),Presidente Kennedy
600,2.04,665.48,Muito pequeno (< 5 ha),1.31,"Compacto (DI < 1,5)",0.03,50.04,Alta conectividade (< 100 m),Presidente Kennedy
601,2.37,861.09,Muito pequeno (< 5 ha),1.58,"Alongado (1,5 ≤ DI < 2,0)",0,174.01,Média conectividade (100-500 m),Presidente Kennedy
602,12.2,1820.23,Médio (10-100 ha),1.47,"Compacto (DI < 1,5)",4.4,92.45,Alta conectividade (< 100 m),Presidente Kennedy
603,1.12,435.65,Muito pequeno (< 5 ha),1.16,"Compacto (DI < 1,5)",0,138.32,Média conectividade (100-500 m),Mimoso do Sul
604,3.48,972.45,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0.28,50.19,Alta conectividade (< 100 m),Presidente Kennedy
605,1.29,690.53,Muito pequeno (< 5 ha),1.72,"Alongado (1,5 ≤ DI < 2,0)",0,127.25,Média conectividade (100-500 m),Presidente Kennedy
606,6.35,1422.69,Pequeno (5-10 ha),1.59,"Alongado (1,5 ≤ DI < 2,0)",0.39,65.33,Alta conectividade (< 100 m),Presidente Kennedy
607,2.63,1355.6,Muito pequeno (< 5 ha),2.36,"Muito alongado (DI ≥ 2,0)",0,18.35,Alta conectividade (< 100 m),Mimoso do Sul
608,1.82,731.12,Muito pequeno (< 5 ha),1.53,"Alongado (1,5 ≤ DI < 2,0)",0,50.04,Alta conectividade (< 100 m),Presidente Kennedy
